18 November 2019 16:07:49
Time (ms),HR (bpm),R-R (ms)
3915,70,850
4789,70,874
5693,70,904
6560,70,867
7461,70,901
8378,69,917
9238,70,860
10120,70,882
11030,69,910
11918,69,888
12792,69,874
13696,69,904
14601,69,905
15478,69,877
16391,69,913
17305,69,914
18142,69,837
19016,69,874
19933,69,917
20801,69,868
21577,70,776
22272,70,695
22959,70,687
23721,72,762
24617,71,896
25551,71,934
26490,70,939
27437,69,947
28354,69,917
29289,69,935
30184,69,895
31062,69,878
31944,69,882
32789,69,845
33643,70,854
34518,70,875
35367,70,849
36247,70,880
37150,70,903
38027,70,877
38940,69,913
39850,69,910
40704,70,854
41571,70,867
42457,70,886
43323,70,866
44187,70,864
45103,70,916
46006,69,903
46907,69,901
47781,69,874
48698,69,917
49580,69,882
50518,69,938
51467,68,949
52394,68,927
53258,68,864
54155,68,897
54964,69,809
55812,69,848
56732,69,920
57617,69,885
58546,69,929
59502,68,956
60415,68,913
61347,68,932
62285,68,938
63235,67,950
64191,67,956
65107,67,916
66021,67,914
66963,67,942
67894,66,931
68836,66,942
69775,66,939
70665,66,890
71441,66,776
72180,68,739
72970,68,790
73897,68,927
74833,67,936
75805,67,972
76760,66,955
77670,67,910
78604,67,934
79559,66,955
80468,66,909
81403,66,935
82352,66,949
83271,66,919
84010,66,739
84742,66,732
85598,67,856
86572,66,974
87511,66,939
88421,66,910
89359,66,938
90305,66,946
91237,66,932
92188,66,951
93120,66,932
94033,66,913
94983,66,950
95940,66,957
96828,66,888
97567,66,739
98271,66,704
99047,68,776
99993,67,946
100942,67,949
101845,67,903
102782,67,937
103710,67,928
104557,68,847
105427,68,870
106326,68,899
107182,69,856
108040,69,858
108939,69,899
109808,69,869
110681,69,873
111607,69,926
112496,69,889
113399,69,903
114331,68,932
115231,68,900
116103,68,872
116996,69,893
117839,69,843
118649,70,810
119542,70,893
120485,69,943
121369,69,884
122311,69,942
123255,68,944
124169,68,914
125137,67,968
126098,67,961
127049,67,951
127994,67,945
128828,67,834
129614,68,786
130431,68,817
131313,69,882
132177,69,864
133078,69,901
134009,68,931
134905,68,896
135852,68,947
136810,68,958
137690,68,880
138465,69,775
139276,70,811
140226,69,950
141161,69,935
142081,69,920
143043,68,962
143997,68,954
144942,67,945
145894,67,952
146825,67,931
147690,67,865
148611,67,921
149527,67,916
150419,67,892
151366,67,947
152286,67,920
153222,67,936
154140,67,918
155064,67,924
155843,67,779
156520,67,677
157188,68,668
157978,68,790
158762,69,784
159554,70,792
160468,70,914
161468,69,1000
162361,71,893
163095,71,734
163749,71,654
164349,71,600
164937,71,588
165510,76,573
166070,76,560
166657,81,587
167307,81,650
168038,81,731
168857,81,819
169671,81,814
170438,81,767
