Zeit in Sekunden,Messwerte
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.0,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.2,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.4,5.03
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.6,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
0.8,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.0,5.02
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.2,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.4,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.6,5.03
1.8,5.03
1.8,5.03
1.8,5.03
1.8,5.03
1.8,5.03
1.8,5.03
1.8,5.03
1.8,5.03
1.8,5.03
1.8,5.03
1.8,5.03
1.8,5.03
1.8,5.03
1.8,5.03
1.8,5.03
1.8,5.03
1.8,5.03
1.8,5.03
1.8,5.03
1.8,5.03
1.8,5.03
1.8,5.03
1.8,5.03
1.8,5.03
1.8,5.03
1.8,5.03
1.8,5.03
1.8,5.03
1.8,5.03
