20 November 2019 14:35:29
Time (ms),HR (bpm),R-R (ms)
7949,95,647
8593,95,644
9276,94,683
10047,92,771
10819,90,772
11564,90,745
12278,89,714
13000,88,722
13739,88,739
14461,88,722
15165,88,704
15832,88,667
16513,88,681
17216,88,703
17937,88,721
18648,87,711
19316,89,668
19978,89,662
20654,89,676
21343,89,689
22067,88,724
22799,88,732
23481,88,682
24173,88,692
24908,88,735
25673,87,765
26444,86,771
27171,86,727
27856,86,685
28528,87,672
29210,87,682
29933,87,723
30682,86,749
31432,86,750
32148,86,716
32828,86,680
33511,87,683
34237,87,726
34996,86,759
35768,85,772
36503,85,735
37216,85,713
37939,85,723
38689,84,750
39456,84,767
40192,84,736
40894,84,702
41581,85,687
42291,85,710
43041,85,750
43821,84,780
44600,83,779
45332,83,732
46031,84,699
46782,83,751
47589,83,807
48461,81,872
49240,81,779
49995,81,755
50758,80,763
51553,80,795
52367,80,814
53130,80,763
53857,82,727
54530,82,673
55200,83,670
55909,83,709
56688,83,779
57530,82,842
58361,81,831
59178,80,817
59934,80,756
60700,80,766
61520,79,820
62328,79,808
63079,80,751
63795,80,716
64472,82,677
65143,83,671
65846,83,703
66617,83,771
67491,81,874
68344,81,853
69126,81,782
69835,82,709
70532,83,697
71274,82,742
72057,82,783
72881,81,824
73616,81,735
74355,81,739
75150,81,795
75956,80,806
76741,80,785
77459,82,718
78137,82,678
78822,83,685
79520,84,698
80263,84,743
81030,83,767
81758,84,728
82459,84,701
83176,84,717
83942,84,766
84745,82,803
85537,82,792
86294,82,757
87011,82,717
87722,83,711
88453,83,731
89226,83,773
90010,82,784
90739,83,729
91441,83,702
92169,83,728
92942,82,773
93706,82,764
94462,82,756
95185,82,723
95875,84,690
96591,84,716
97343,83,752
98101,83,758
98883,83,782
99594,83,711
100299,83,705
101058,82,759
101865,82,807
102677,81,812
103459,81,782
104169,82,710
104884,82,715
105604,83,720
106311,84,707
107010,84,699
107678,85,668
108328,87,650
108986,87,658
109650,88,664
110338,88,688
111010,88,672
111665,89,655
112329,89,664
113020,89,691
113740,89,720
114475,88,735
115154,88,679
115805,89,651
116457,90,652
117130,90,673
117825,90,695
118543,89,718
119267,89,724
119948,89,681
120620,89,672
121300,89,680
122017,89,717
122761,88,744
123502,87,741
124198,87,696
124891,88,693
125584,88,693
126294,88,710
127017,87,723
127725,88,708
128409,88,684
129064,88,655
129738,89,674
130419,89,681
131107,89,688
131764,91,657
132394,91,630
133022,92,628
133662,92,640
134319,92,657
134986,93,667
135632,93,646
136263,93,631
136904,94,641
137551,94,647
138217,93,666
138863,94,646
139490,94,627
140120,95,630
140751,95,631
141376,95,625
141988,97,612
142585,97,597
143178,98,593
143772,98,594
144372,99,600
144986,99,614
145590,99,604
146166,101,576
146737,101,571
147307,103,570
147880,103,573
148463,103,583
149073,102,610
149704,102,631
150350,101,646
150966,101,616
151573,101,607
152191,100,618
152834,100,643
153522,99,688
154218,96,696
154897,96,679
155553,96,656
156200,96,647
156856,96,656
157527,95,671
158192,95,665
158822,95,630
159443,96,621
160083,96,640
