Zeit in Sekunden,Messwerte
0.0,4.32
0.2,4.31
0.4,4.3
0.6,4.3
0.8,4.29
1.0,4.31
1.2,4.35
1.4,4.42
1.6,4.48
1.8,4.54
2.0,4.58
2.2,4.6
2.4,4.61
2.6,4.61
2.8,4.6
3.0,4.58
3.2,4.55
3.4,4.52
3.6,4.49
3.8,4.47
4.0,4.45
4.2,4.45
4.4,4.46
4.6,4.47
4.8,4.48
5.0,4.49
5.2,4.49
5.4,4.48
5.6,4.48
5.8,4.46
6.0,4.45
6.2,4.44
6.4,4.42
6.6,4.4
6.8,4.39
7.0,4.38
7.2,4.38
7.4,4.37
7.6,4.38
7.8,4.4
8.0,4.45
8.2,4.52
8.4,4.59
8.6,4.65
8.8,4.7
9.0,4.72
9.2,4.73
9.4,4.72
9.6,4.7
9.8,4.68
10.0,4.65
10.2,4.62
10.4,4.59
10.6,4.56
10.8,4.53
11.0,4.51
11.2,4.48
11.4,4.46
11.6,4.45
11.8,4.43
12.0,4.41
12.2,4.4
12.4,4.39
12.6,4.38
12.8,4.37
13.0,4.35
13.2,4.35
13.4,4.34
13.6,4.33
13.8,4.32
14.0,4.31
14.2,4.3
14.4,4.3
14.6,4.3
14.8,4.32
15.0,4.35
15.2,4.39
15.4,4.42
15.6,4.45
15.8,4.47
16.0,4.49
16.2,4.49
16.4,4.49
16.6,4.48
16.8,4.47
17.0,4.45
17.2,4.44
17.4,4.42
17.6,4.41
17.8,4.39
18.0,4.38
18.2,4.37
18.4,4.36
18.6,4.36
18.8,4.37
19.0,4.39
19.2,4.41
19.4,4.42
19.6,4.43
19.8,4.43
20.0,4.43
20.2,4.43
20.4,4.44
20.6,4.46
20.8,4.49
21.0,4.53
21.2,4.55
21.4,4.56
21.6,4.56
21.8,4.56
22.0,4.55
22.2,4.54
22.4,4.54
22.6,4.56
22.8,4.58
23.0,4.6
23.2,4.62
23.4,4.62
23.6,4.63
23.8,4.65
24.0,4.67
24.2,4.69
24.4,4.7
24.6,4.7
24.8,4.69
25.0,4.68
25.2,4.66
25.4,4.63
25.6,4.61
25.8,4.59
26.0,4.57
26.2,4.55
26.4,4.54
26.6,4.53
26.8,4.53
27.0,4.55
27.2,4.58
27.4,4.6
27.6,4.61
27.8,4.61
28.0,4.61
28.2,4.6
28.4,4.59
28.6,4.57
28.8,4.55
29.0,4.53
29.2,4.52
29.4,4.5
29.6,4.49
29.8,4.47
30.0,4.46
30.2,4.45
30.4,4.45
30.6,4.45
30.8,4.46
31.0,4.46
31.2,4.46
31.4,4.46
31.6,4.45
31.8,4.45
32.0,4.44
32.2,4.43
32.4,4.42
32.6,4.41
32.8,4.4
33.0,4.42
33.2,4.45
33.4,4.51
33.6,4.57
33.8,4.61
34.0,4.64
34.2,4.66
34.4,4.67
34.6,4.66
34.8,4.65
35.0,4.62
35.2,4.6
35.4,4.58
35.6,4.56
35.8,4.54
36.0,4.52
36.2,4.51
36.4,4.5
36.6,4.48
36.8,4.48
