20 November 2019 12:44:30
Time (ms),HR (bpm),R-R (ms)
1181,99,593
1775,100,594
2358,100,583
2936,101,578
3513,101,577
4091,102,578
4683,102,592
5287,102,604
5897,102,610
6514,102,617
7152,100,638
7795,100,643
8424,100,629
9050,99,626
9683,99,633
10326,99,643
10968,98,642
11611,98,643
12234,99,623
12836,99,602
13423,100,587
14011,100,588
14616,100,605
15249,99,633
15907,99,658
16557,98,650
17192,98,635
17810,98,618
18437,98,627
19089,97,652
19767,97,678
20456,96,689
21135,95,679
21804,95,669
22453,95,649
23073,95,620
23674,96,601
24275,97,601
24877,97,602
25486,98,609
26118,98,632
26747,98,629
27373,97,626
28030,97,657
28751,96,721
29492,95,741
30179,95,687
30861,94,682
31567,92,706
32288,92,721
32993,92,705
33653,92,660
34286,92,633
34909,93,623
35534,94,625
36192,94,658
36855,94,663
37493,94,638
38137,94,644
38800,93,663
39506,93,706
40174,93,668
40823,93,649
41482,93,659
42128,93,646
42777,94,649
43405,94,628
44024,95,619
44641,95,617
45271,96,630
45921,96,650
46564,96,643
47183,96,619
47800,97,617
48422,97,622
49059,96,637
49703,96,644
50343,96,640
50968,96,625
51612,96,644
52257,96,645
52906,96,649
53533,96,627
54152,97,619
54771,97,619
55422,97,651
56102,95,680
56780,95,678
57434,95,654
58084,95,650
58741,95,657
59415,94,674
60056,95,641
60675,95,619
61293,96,618
61924,96,631
62588,95,664
63265,94,677
63959,94,694
64651,93,692
65325,93,674
65967,93,642
66618,93,651
67269,93,651
67932,93,663
68603,94,671
69243,94,640
69860,94,617
70479,95,619
71114,95,635
71782,95,668
72484,94,702
73150,94,666
73808,94,658
74476,93,668
75150,93,674
75813,93,663
76449,94,636
77077,94,628
77715,94,638
78358,94,643
78990,95,632
79607,96,617
80216,96,609
80836,96,620
81498,96,662
82175,95,677
82839,94,664
83520,94,681
84226,93,706
84943,93,717
85603,93,660
86244,93,641
86870,94,626
87492,94,622
88118,95,626
88732,96,614
89330,96,598
89934,97,604
90547,97,613
91186,97,639
91846,96,660
92510,96,664
93153,97,643
93772,97,619
94377,97,605
94987,98,610
95597,98,610
96221,98,624
96836,98,615
97437,99,601
98024,100,587
98613,100,589
99201,101,588
99795,101,594
100381,102,586
100956,102,575
101534,103,578
102111,103,577
102698,103,587
103296,103,598
103882,103,586
104470,104,588
105062,104,592
105669,103,607
106295,102,626
106901,102,606
107512,102,611
108120,102,608
108758,101,638
109391,101,633
109994,101,603
110592,101,598
111194,101,602
111804,101,610
112420,101,616
113028,101,608
113625,101,597
114223,101,598
114834,101,611
115464,101,630
116073,101,609
116678,101,605
117310,101,632
117960,100,650
118630,98,670
119292,98,662
119923,98,631
120551,98,628
121186,98,635
121830,97,644
122461,97,631
123069,98,608
123664,99,595
124253,99,589
124841,100,588
125446,100,605
126047,100,601
126640,101,593
127243,101,603
127871,100,628
128529,100,658
129173,99,644
129801,99,628
130428,99,627
131061,98,633
131696,98,635
132326,98,630
132930,99,604
133535,99,605
134140,100,605
134751,100,611
135360,100,609
135953,101,593
136541,101,588
137143,101,602
137761,101,618
138402,100,641
139026,100,624
139642,100,616
140263,99,621
140902,99,639
141559,99,657
142199,98,640
142819,98,620
143444,98,625
144094,97,650
144755,97,661
145402,97,647
146058,97,656
146724,96,666
147407,95,683
148066,95,659
148688,95,622
149297,97,609
149888,97,591
150466,100,578
151029,100,563
151586,102,557
152142,102,556
152697,103,555
153253,105,556
153806,105,553
154359,107,553
154903,107,544
